Address,Latitude,Longitude,MapAddress,Name,Total Employees
"13-j, first floor, jinnah super market, islamabad ",33.7235293,73.0596724,"College Rd, F-7/3, F-7, Islamabad, Islamabad Capital Territory, Pakistan",united business systems (pvt)ltd,5
"1st floor, ummer bulding 76, blue area, islamabad ",33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",digital radio paging ltd ,19
"bazar # 1, shop # 1,  G-6/2 islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",akbar optical ,6
"house # 4, block # 4, farooqia market, F-6/1, islamabad ",33.7239173,73.074469,"F-6/1, F 6/1, F-6, Islamabad, Islamabad Capital Territory, Pakistan",chaudhery rashid sweets & bakers/confectioners ,5
"shop # 6, block 13-5, jinnah super markaz, islamabad ",33.721223,73.057653,"F-7/3, F-7, Islamabad, Islamabad Capital Territory, Pakistan",fuji color pakistan laboratories (pvt) ltd ,10
"Plot # 269-a, Street#, industrial area, I-9, islamabad ",33.6844202,73.04788479999999,"I-9, Islamabad, Islamabad Capital Territory, Pakistan",amco industery ltd ,14
"shop # 1, sakhawat market, G-9/3, islamabad ",33.6922377,73.0343477,"Sakhawat Market, Street 6, G-9/3, G 9/3, G-9, Islamabad, Islamabad Capital Territory, Pakistan",s.k.s brothers steel fabricator ,2
"shop # 3, sakhawat market, G-9/3, islamabad ",33.6922377,73.0343477,"Sakhawat Market, Street 6, G-9/3, G 9/3, G-9, Islamabad, Islamabad Capital Territory, Pakistan",mohd sarwar steel ,2
"shop # 2, sakhawat market, G-9/3, islamabad ",33.6922377,73.0343477,"Sakhawat Market, Street 6, G-9/3 G 9/3 G-9, Islamabad, Islamabad Capital Territory, Pakistan",k. as sons ,2
"701, aabpara market, G-6, islamabad ",33.707945,73.089273,"699 Khayaban-e-Suhrwardy, Aabpara G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",islamabad electronics ,2
"6/2 I&T center, G-9/4, islamabad ",33.6839995,73.04105410000001,"Street 55, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",adnan steel works ,-
75 east fazal haq road blue area islamabad ,33.7185255,73.07457579999999,"Fazal Plaza, Plot 50, AKM Fazal-ul-Haq Rd, Block E, Blue Area, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",pak com ltd ,58
"block # 7, civic centre,G-6 Markaz, G-6, islamabad ",33.716665,73.084087,"G 6 Markaz G-6, Islamabad, Islamabad Capital Territory, Pakistan",ahmed shares ,1
"Kamran Shopping Centre, Khayaban-e-Suhrwardy, Aabpara G 6/1 G-6, Islamabad",33.707953,73.089292,"699 Khayaban-e-Suhrwardy, Aabpara G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",new popular cloth store ,2
"74, Yasine Plaza, Block F, G-7/3, Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",33.7172931,73.07078,"G-7/3, Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",business computing institute pvt ltd ,13
78 benazir plaza jinnah avennue ,33.71294,73.063032,"Benazir Plaza, Jinnah Ave, Block H, Blue Area, Block H G 7/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",pezzeria ,8
"56-e , Block F, G-7/3, Blue Area, Islamabad, Islamabad Capital Territory, Pakistana",33.7172931,73.07078,"Block F G 7/3 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Zoom Petroleum ,6
" Ayesha Plaza, Jinnah Ave, Block D, Blue Area, Block D, G-6/2, Blue Area, Islamabad",33.7172931,73.07078,"Ayesha Plaza, Jinnah Ave, Block D, Blue Area, Block D G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",musawir rana electronics,3
"Shop # 2, Block # 13, Markaz F-7, islmabad ",33.7211404,73.0571301,"F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory, Pakistan",Bareeze ,5
"Shop # 20-A, G-8 Markaz, Islmabad ",33.6995307,73.04790489999999,"G-8 Markaz Rd, G-8/2 G 8/2 G-8, Islamabad, Islamabad Capital Territory, Pakistan",Farmacia ,7
"26-D, Kashmir Plaza, Jinnah Ave, Islamabad",33.724287,73.0845817,"26-D, Kashmir Plaza, 3rd Floor, Block B, Jinnah Ave, Islamabad, 44000, Pakistan",jaffer brothers pvt ltd ,
26-d kashmir plaza jinnah avenue islamabad ,33.7234548,73.0839927,"Huma Plaza, AK Fazal-ul-Haq Rd, Block B, Blue Area, Islamabad, ICT, Pakistan",murshid builders ,
"2-b khayaban e iqbal F-7/3 islamabad 17 th floor habib bank tower, jinnah avenue blue area islamabad",33.7246308,73.08234449999999,"Jinnah Ave, F 6/4 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",union texas pakistan inc branch office. BP pakistan Explozation and production inc ,3
"623, Aabpara Market, G-6/1, islamabad ",33.707011,73.0877455,"699 Khayaban-e-Suhrwardy, Barakahu G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan","Ghafoor book depo, book center ",1
"shahnaz plaza, F-8 markaz, Islamabad ",33.711255,73.038102,"Shehnaz Plaza, Plot No 14-Y, Johar Rd, F-8 Markaz, F-8, Islamabad, ICT, F-8 Markaz F 8 Markaz F-8, Islamabad, Islamabad Capital Territory, Pakistan",arrooj super store ,2
shop # 28 jinnah supper market F-7 Islamabad ,33.7235293,73.0596724,"College Rd, F 7/3 F-7, Islamabad, Islamabad Capital Territory, Pakistan",jewal collection ,1
plot # 10-e kahota road industerial area Islamabad,33.5896138,73.3885526,"Kahuta, Rawalpindi, Punjab, Pakistan",javedan precasting ,8
plot # 88 I-10 /3 Islamabad ,33.6537916,73.03905189999999,"I-10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",total packages pvt ltd ,8
plot # 218 shop 7 I-9 Islamabad ,33.6627778,73.05419239999999,"218 Street 7, I-9/3 I 9/3 I-9, Islamabad, Islamabad Capital Territory, Pakistan",MICRO PAK pvt ltd ,8
shop # 7.8 G-9/2 Islamabad,33.6901348,73.027245,"Plot 835, G-9/2 G 9/2 G-9, Islamabad, Islamabad Capital Territory, Pakistan",second hand clothing center,1
shop # 17 al-abbas plaza G-8 markaz Islamabad ,33.6964052,73.0495634,"Al-Abbas Plaza, G-8 Markaz, G-8, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",aziz tailors ,3
block # 18 super market F-6 Islamabad ,33.728825,73.076076,"F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory, Pakistan",programming photo finishing ,6
shop # 15 shahnaz plaza markaz F-8 Islamabad ,33.711241,73.038106,"Shehnaz Plaza, Plot No 14-Y, Johar Rd, F-8 Markaz, F-8, Islamabad, ICT, F-8 Markaz F 8 Markaz F-8, Islamabad, Islamabad Capital Territory, Pakistan",irum boteek ,2
103 aabpara market Islamabad ,33.706362,73.086084,"103 Aabpara market, Aabpara G 6/1 G-6, Islamabad, Islamabad Capital Territory 44000, Pakistan",deen interprises ,1
house # 1 plot # 3 bhatti market G-10/3 Islamabad ,33.681759,73.01632,"Capital Territory, G-10/3 G 10/2 G-10, Islamabad, Islamabad Capital Territory, Pakistan",new anbala sweets and bakers ,2
shop # 3-c sun plaza F-10 markaz Islamabad ,33.6952308,73.0128546,"F-10 Markaz F-10, Islamabad, Islamabad Capital Territory, Pakistan",get smart dry cleaners and dryers ,4
shop # 2/3 chennab market G-7 Islamabad ,33.700455,73.068013,"Street 35, G-7/1 G 7/1 G-7, Islamabad, Islamabad Capital Territory, Pakistan",yaqoob autos workshop ,1
anzeeja plaza markaz G-10 Islamabad ,33.6756824,73.0161755,"G-10 Markaz G-10, Islamabad, Islamabad Capital Territory, Pakistan",alnajaf super store ,2
