Address,Latitude,Longitude,MapAddress,Name
"Plot No 15, St. No 17, Korang Town Extension-I",33.5782014,73.1393861,"Korang Town Rawalpindi, Islamabad, Islamabad Capital Territory, Pakistan",Trade Leaders
"Office No 5, Ist Floor Rose-1 Plaza, I-8 Markaz Islamabad",33.72296,73.08203999999999,"Ghousia Plaza, Jinnah Avenue, Blue Area, Islamabad, Pakistan, Pakistan",Amgomed
"Office No 6, 3rd Floor, Al-Jannat Arcade G-11 Markaz Islamabad",33.6678638,72.9983249,"Al-Jannat Arcade, Shabbir Sharif Road, G-11 Markaz G 11 Markaz G-11, Islamabad, Islamabad Capital Territory 44000, Pakistan",Seasons Pharmaceutical Distributors
Pharmacy PIMS Hospital Compound G-8/3,33.70296,73.04853,"G-8/3 G 8/3 G-8, Islamabad, Islamabad Capital Territory, Pakistan",Pharmax Pak (Pvt) Ltd
"Shop No G-8, Al-Habib Plaza, Ghouri Town, Phase-4-B",33.6256889,73.15325969999999,"Ghouri Town Phase Phase 7 Ghauri Town, Islamabad, Islamabad Capital Territory, Pakistan",Qamar Pharmacy
"Shop No 9, Al-Hameed Mall, Lower Ground Floor, G-11 Markaz Islamabad",33.669971,72.99943189999999,"Al Hameed Mall, G-11 Markaz G 11 Markaz G-11, Islamabad, Islamabad Capital Territory, Pakistan",Swat Pharmacy
"Shaheen Town, Main Shareefabad Road, Ghouri Town, Phase-5-A",33.6284214,73.1391008,"Ghori Town Rd, Islamabad, Islamabad Capital Territory, Pakistan",A.H. Pharmacy
"Plot No 3, St.3, A-Block Main Soan Avenue, Soan Garden Islamabad",33.5648708,73.1519259,"Soan Ave, Islamabad, Punjab, Pakistan",SMDC Pharmacy
"Lehtrar Road, Tarlai Kalan",33.6392212,73.1528123,"Lehtrar Road, Tarlai Kalan, Islamabad, Islamabad Capital Territory, Pakistan",Al-Hamza Medical Store
"Office No 2, Ist Floor Marble Plaza, I-9 Markaz Islamabad",33.6535043,73.0496866,"Marble Plaza, Potohar Rd, I-9 Markaz, I-9, I 9 Markaz I-9, Islamabad, Islamabad Capital Territory 44000, Pakistan",Medinex Distributor
"Fateh Jang Road, Benazir Chowk, Tarnol",33.6555905,72.9076669,"Tarnol, Islamabad, Islamabad Capital Territory, Pakistan",Shafaq Pharmacy
"Basement Hall No 3, Al-Hameed Centre, Sector G-11 Markaz Islamabad",33.6963277,73.01294639999999,"F-10 Markaz F 10/3 F-10, Islamabad, Islamabad Capital Territory, Pakistan",D.Watson Pharmacy
"Shop No 1, 2, & 3, Awami Trade Centre, Sector G-9 Markaz Islamabad",33.690286,73.030647,"Shop 1-3 , Awami Trade Center, G-9 Markaz, G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44000, Pakistan",D.Watson Pharmacy
"Seeri Sarial Shah Allah Ditta Road, D-13",33.6873701,72.95454769999999,"Shah Allah Ditta Rd, Islamabad, Islamabad Capital Territory, Pakistan",Shifa health Pharmacy
"Plot No 2-D, Bazar No 5, Shop No 6-G, Ground Floor, G-13/3 Islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Al-Shahid Pharmacy
"Plot No 5-N, St. 1, Industrial Area, I-10/3 Islamabad",33.6547752,73.0418481,"Street 1, I-10/3 I 10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",UDL Distribution Pvt Limited
"Main Murree Road, Opp. Col Aman Ullah Road, Bhara kahu Islamabad",33.7366837,73.1744241,"Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Universal Pharmacy
"Al-Fateh Departmental Store, Centaurs Centres Mall, Jinnah Avenue Blue Area",33.7179089,73.0716076,"Jinnah Ave, Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Al-Bari Pharmacy
"Saif Health Care, Shop No 103, Ist Floor, 2020-Kulsum Plaza, Blue Area",33.71824,73.07316,"Block E, Blue Area, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",KIH Pharmacy
"Taj Plaza, F-8 Markaz Islamabad",33.7115769,73.0397898,"F-8 Markaz F 8 Markaz F-8, Islamabad, Islamabad Capital Territory, Pakistan",Bharia Pharmacy-II
Friends Arcade G-13/1 Islamabad,33.6439505,72.9588076,"G-13/1 G 13/1 G-13, Islamabad, Islamabad Capital Territory, Pakistan",Lioyds Pharmacy
"City Arcade, I-8 Markaz Islamabad",33.6688091,73.07554449999999,"City Arcade, Tipu Sultan Rd, I-8 Markaz, I-8, I 8 Markaz I-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Drug Source Pharmacy
"Col. Amanullah Road, Bhara kahu Islamabad",33.7449623,73.1762626,"Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Paradize Medical Store
"Ground Floor, Golra more Islamabad",33.6251427,72.9734166,"Near Golra Morr، Peshawar Road، H-13, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Quaid-e-Azam International Hospital Pharmacy
"4th Floor, Golra more Islamabad",33.6251427,72.9734166,"Near Golra Morr، Peshawar Road، H-13, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Quaid-e-Azam International Hospital Pharmacy
Main Bani Gala Road,33.7251474,73.1649061,"Korang Rd, Islamabad, Islamabad Capital Territory, Pakistan",Hashir Pharmacy
"Main Bazar, Golra",33.6939092,72.97705909999999,"Golra E-11, Islamabad, Islamabad Capital Territory, Pakistan",Najeeb Medical Store
G-11 Markaz Islamabad,33.668435,72.9970134,"Shahnawaz Plaza Sachal Sarmast Road, G-11 Markaz G 11 Markaz G-11, Islamabad, Islamabad Capital Territory 44000, Pakistan",Al-Rehman Pharmacy
double road G-13/1 Islamabad,33.6450527,72.96356920000001,"Street 162, G-13/1 G 13/1 G-13, Islamabad, Islamabad Capital Territory, Pakistan",Rite Aid Pharmacy
G-8 Markaz Islamabad,33.699239,73.0486482,"Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",Akram Pharmacy
G-8 Markaz Islamabad,33.6991305,73.04882529999999,"G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",Ameer Pharmacy
"Ali Plaza, Bani Gala",33.7092132,73.1544184,"Abbasi Plaza، Jinnah Rd, Bani Gala, Islamabad, Islamabad Capital Territory, Pakistan",Ali Pharmacy
"OGDCL Medical Centre, F-8 Markaz Islamabad",33.71284,73.03782,"Park Rd, F-8 Markaz, F-8, Islamabad, ICT، Pakistan",Shifa Pharmacy
"OGDCL Health Office, Blue Area",33.7232097,73.0797317,"Jinnah Ave, F 6/1 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Shifa Pharmacy
"Bharia Town, Phase-2",33.5581289,73.1208238,"Bahria Town Phase II Phase 2 Bahria Town, Rawalpindi, Punjab, Pakistan",Al-Zainab Pharmacy
"Jhangi Syeddan, Islamabad",33.61801,72.937375,"Jhangi Syedan, Islamabad, Islamabad Capital Territory, Pakistan",Ejaz Medical Store
Islamabad.,33.6901862,73.03165729999999,"Mehran Plaza, Rohtas Rd, G-9 Markaz, G-9, G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",Life Medical Store G-9 Markaz Islamabad
"Jawa Road, Rawat Islamabad",33.518083,73.23847889999999,"S1, national industrial estate, Rawat,, Rawat Industrial Estate, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Saghar Pharmacy
"Madina Town, Ali Pur",31.4222252,73.1216833,"Madina Town, Faisalabad, Punjab, Pakistan",Mian G. Medical Store
G-8 Markaz Islamabad,33.6992078,73.0488306,"Allah Dad Plaza Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Shaheen Pharmacy
"Main Bazar, G.T. Road, Rawat Islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Shahbaz Pharmacy
Golra More Islamabad,33.648484,73.04058429999999,"I-10 Markaz I 10 Markaz I-10, Islamabad, Islamabad Capital Territory, Pakistan",Care Plus Pharmacy
Margalla Town Islamabad,33.6693282,73.1061921,"Margalla Town, Orchard Scheme, Islamabad, Islamabad Capital Territory, Pakistan",Yousaf Zai Medical Store
Shahzad Town Islamabad,33.6725191,73.140303,"Shahzad Town, Islamabad, Islamabad Capital Territory, Pakistan",Capital Medical Store
Aabpara,33.7063825,73.086089,"Aabpara G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",Zahid Medical Store
"Maroof International Hospital, F-10 Markaz Islamabad",33.6974922,73.01187420000001,"F10 Markaz, 10th Avenue، F 10/3 F-10, Islamabad, Islamabad Capital Territory, Pakistan",Maroof Pharmacy
Tarlai Kalan,33.6390593,73.1520788,"Lehtrar Rd, Dak Khana Stop, Tarlai Kalan, Tarlai Kalan, Islamabad, Islamabad Capital Territory 45550, Pakistan",Sarfraz Pharmacy
"Ground Floor, Golra more Islamabad",33.6251427,72.9734166,"Near Golra Morr، Peshawar Road، H-13, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Quaid-e-Azam International Hospital
"Zeeshan Plaza, G-8 Markaz Islamabad",33.6992033,73.0485892,"Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",Abbasi Pharmacy
G-11/2,1.8667661,102.9375802,"11, Jalan Seluang, Taman Banang, 83000 Batu Pahat, Johor, Malaysia",BDH Pharmacy
"Huma Plaza, Blue Area",33.7224116,73.08206249999999,"21-E, Huma Plaza (opposite Polyclinic), 87 East A.K. Fazl-ul-Haq Rd, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Federal Pharmacy
AN Arcade G-13/1 Islamabad,33.6430633,72.9524131,"Street 4, G-14/4 G 14/4 G-14, Islamabad, Islamabad Capital Territory, Pakistan",Health Pharmacy
"Murree Road, Bhara kahu Islamabad",33.7368351,73.1748884,"Murree Rd, Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Gulzar Pharmacy
"Punjab Market, G-13/4",33.6504847,72.97124769999999,"Punjab Market, St 149, G-13-4, G-13, G 13/4 G-13, Islamabad, Islamabad Capital Territory 44220, Pakistan",Mediway Pharmacy
G-8 Markaz Islamabad,33.6315646,72.9226649,"Kazz Arcade, Jammu & Kashmir Housing Society G 15 Markaz G-15, Islamabad, Islamabad Capital Territory, Pakistan",Kashmir Pharmacy
G-7/4,33.7056917,73.0793568,"Muhammad Mansha Yaad Rd, G-7/4 G 7/4 G-7, Islamabad, Islamabad Capital Territory, Pakistan",Islamic International Dental Hospital Medical Store
I-10/3 Islamabad,33.709525,73.041583,"Kaghan Road, F-8/3, F 8/4 F-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Drug Services
"Jawa Road, Rawat Islamabad",33.4962757,73.19340629999999,"Jawa Rd, Rawat, Islamabad, Islamabad Capital Territory, Pakistan",New Ali Pharmacy
G-8 Markaz Islamabad,33.6992033,73.0485892,"Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",J. Sariya Medical Store
"Super Market, F-6 Markaz Islamabad",33.72982,73.075307,"F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory, Pakistan",Medi Plus Pharmacy
"Near Mari Gas Building, G-10/4",33.6784462,73.0213414,"G-10/4 G-10, Islamabad, Islamabad Capital Territory, Pakistan",Shifa Pharmacy
