Address,Latitude,Longitude,MapAddress,Name,"Registration Status(Reg No,& Date & Relevant Law"
"Malot Commercial Center, Shahpur Simly Dam Road, Islamabad. 051- 2232394, 03005167142 ",32.9448423,73.6116742,"Malot, Jhelum, Punjab, Pakistan",Aas Welfare Association ,"VSWA/ICT/494 ,Date: 6/9/2006, VSWA Ordinance 1961 "
"Village Khana Dak, Madina Town, Jabbah, Barma Chowk, Islamabad. 03005308511 ",33.6283542,73.12586999999999,", ICT, Pakistan",Abaseen Welfare Society ,"VSWA/ICT/439, "
"Office No.5, 1st Floor, A & K Plaza, F- 10 Markaz, Islamabad. 051-2214052, 03008438984 ",33.6954742,73.0134897,"Universal Plaza, Shop 5-4/A, 10th Ave, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",Acid Survivors Foundation. ,"VSWA/ICT/511,Date 02/08/2007, VSWA Ordinance 1961 "
"Ali Pur Frash Lehtrar Road, Islamabad. 051-2519062 ",33.6452659,73.17684849999999,"Lehtrar Road, Ali Pur, Islamabad, Islamabad Capital Territory, Pakistan",Akhmat Welfare Centre ,"VSWA/ICT/282, Date 24/04/1998, VSWA Ordinance 1961 "
"# 204, Al Mustafa Towers F-10 Markaz, Islamabad. 03458555872 ",33.691101,73.016468,"Plot No. 7, 10th Avenue, F-10, F 10/4 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",Al Mustafa Towers Residents Associations (AMPTRWA) ,"VSWA/ICT/438, Date 27/03/2004,VSWA Ordinance 1961 "
"Mohallah Ara, Bharakau, Islamabad. 051-2512308, 03008565227 ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Al-Firdous Welfare Association ,"VSWA/ICT/520, Date 2/04/2008, VSWA Ordinance 1961 "
Model Village Ali Pur Farash Islamabad. ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Al-Itehad Welfare Society ,"VSWA/ICT/261,Date:0 5/08/1996, VSWA Ordinance 1961 "
NearF.G.Boys High School Shahdra Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Al-Jihad Youth Organization ,"VSWA/ICT/202,Date:1 7/06/1993,VSWA Ordinance 1961 "
"H.No.39 Gali No.67 I- 10/1,Islamabad.051-4443227 ",33.6425148,73.0361003,"Sector I-10/1 I 10/1 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Al-Noor Foundation. ,"VSWA/ICT/377, Date 17.4.2002, VSWA Ordinance 1961 "
Rawal Town Islamabad ,33.6866977,73.11873270000001,"Rawal Town, Islamabad, Islamabad Capital Territory, Pakistan",Al-Noor Islamic Center ,"VSWA/ICT/90, Date 2.12.1990 VSWA Ordinance 1961 "
Sharifabad Tarlai Islamabad ,33.6501374,73.2558952,"Nilore, Islamabad, Islamabad Capital Territory, Pakistan",Al-Noor Islamic Center ,"VSWA/ICT/89, Date 2.12.1990 VSWA Ordinance 1961 "
Village Shah Allah Ditta P.O. Golra Sharif Islamabad ,33.7130956,72.9209564,"Shah Allah Ditta Islamabad, Islamabad Capital Territory, Pakistan",Al-Sadat Welfare Society ,"VSWA/ICT/394, Date 5.9.2002, VSWA Ordinance 1961 "
"House No.1, Street No. 34, F-7/4, Islamabad. 5487820-5 ",33.5583201,72.93519359999999,"Street No. 34, Islamabad, Rawalpindi, Punjab, Pakistan",Al-Shifa Trust for the prevention & Care of Blindness. ,"VSWA/ICT/35, Date 24.5.1988, VSWA Ordinance 1961 "
"12-A Mazzenine Floor 67 Itehad Center Blue Area, Islamabad. ",33.7128408,73.0635401,"AK Fazal-ul-Haq Rd, Block H, Blue Area, Islamabad, ICT, Pakistan",Amanat Welfare Council. ,"VSWA/ICT/223, Date 05.03.1996, VSWA Ordinance 1961 "
"Noor Pur Shahan F.R Hospital, Bari Imam Islamabad. ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Amans Foundation ,"VSWA/ICT/160, Date 25.5.1992 VSWA Ordinance 1961 "
"House No.494, Model Town Humak Islamabad 051-4490248 ",33.5386527,73.148237,"Model Town Humak, Islamabad, Islamabad Capital Territory, Pakistan",Anjuman Falah-e- Khawateen ,"VSWA/ICT/347, Date 25.6.2001 VSWA Ordinance 1961 "
"House No.413, Ali Pur Farash Islamabad ",33.6406236,73.17773749999999,"Ali Pur, Islamabad, Islamabad Capital Territory, Pakistan",Anjuman Haqooq-e-Insaniat ,"VSWA/ICT/184, Date 5.1.1993 VSWA Ordinance 1961 "
Sector E-11 Islamabad. 051-5474492 ,31.0452345,46.2665911,"Nasiriyah, Iraq",Anjuman Mehria Nasiria ,"VSWA/ICT/333, Date 8.12.2000, VSWA Ordinance 1961 "
"Plot No.39, Wholesale Fruit Market, I- 11/1, Islamabad. 0333-5103467 ",33.6334408,73.0198654,"I-11/1 I 11/1 I-11, Islamabad, Islamabad Capital Territory, Pakistan","Anjuman Wholesale Fruit Commission Agent Plot No.39 Wholesale Lfruit Market, I-11/1 Islamabad ","VSWA/ICT/177, Date 2.12.1992, VSWA Ordinance 1961 "
"Village Ali Pur Farash, Islamabad ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Anjuman Falah-o-Behbood Sufia Noor Bakhshia ,"VSWA/ICT/484, Date 14.05.1988, VSWA Ordinance 1961 "
"Sakeena Jamia Imam Sadiq, Sector G-9/2, Islamabad. ",33.6894014,73.0316727,"G-9, Islamabad, Islamabad Capital Territory, Pakistan",Anjuman Kaneezan-e- Sakina Jamia Imam Sadiq ,"VSWA/ICT/512, Date 14.05.1988, VSWA Ordinance 1961 "
No.12 Park Road F-8/2 Islamabad. ,33.7134591,73.0338865,"F-8/2 F 8/2 F-8, Islamabad, Islamabad Capital Territory, Pakistan",Anjuman Khawateen-Arrian ,"VSWA/ICT/107, Date 23.5.1991, VSWA Ordinance 1961 "
"Shop # 158, Sabzi Manzi, Sector I- 11/4, Islamabad. 0301-6660666; 0303-6660666 ",33.6388719,73.0198654,"I-11, Islamabad, Islamabad Capital Territory, Pakistan",Anjuman Whole Sale Vegetable Commission Agents ,"VSWA/ICT/534, Date 22-10-2008, VSWA Ordinance 1961 "
